experiment_id,theta,seed,condition,noise_strength,kl,js,tv,entropy,l1,utility,action
0,0.0,0,low,0.02,0.3116211042835415,0.005448442029075284,0.015625,1.1576622960051726,0.03125,-0.015625,IGNORE
1,0.0,0,medium,0.08,1.249847856736935,0.020838241524073844,0.058837890625,1.4834757075280913,0.11767578125,-0.058837890625,IGNORE
2,0.0,0,high,0.2,3.7764695060800344,0.06256039096250972,0.169189453125,2.126939090719733,0.33837890625,-0.169189453125,IGNORE
3,0.0,1,low,0.02,0.41415283768283934,0.007163073034985357,0.0205078125,1.1995016845060626,0.041015625,-0.0205078125,IGNORE
4,0.0,1,medium,0.08,1.674335952760888,0.02778057188588491,0.077880859375,1.611138342536181,0.15576171875,-0.077880859375,IGNORE
5,0.0,1,high,0.2,3.97628981212906,0.06594655795197157,0.177734375,2.1707417967810496,0.35546875,-0.177734375,IGNORE
6,0.0,2,low,0.02,0.35806138953218025,0.006377773784514428,0.026611328125,1.1760557620939056,0.05322265625,-0.026611328125,IGNORE
7,0.0,2,medium,0.08,1.4837141939042577,0.02483438573890724,0.0693359375,1.5540649380570124,0.138671875,-0.0693359375,IGNORE
8,0.0,2,high,0.2,3.942763522359606,0.06553446347147325,0.17626953125,2.1621815852279056,0.3525390625,-0.17626953125,IGNORE
9,0.0,3,low,0.02,0.2817419291668071,0.004947515093575649,0.01416015625,1.1438404102289965,0.0283203125,-0.01416015625,IGNORE
10,0.0,3,medium,0.08,1.4859455715622238,0.024654279366462452,0.0693359375,1.550845740575514,0.138671875,-0.0693359375,IGNORE
11,0.0,3,high,0.2,3.6301880594512537,0.060055949255615845,0.162841796875,2.0912887729923897,0.32568359375,-0.162841796875,IGNORE
12,0.0,4,low,0.02,0.3476389224236825,0.006197498210777175,0.02587890625,1.1721160625241829,0.0517578125,-0.02587890625,IGNORE
13,0.0,4,medium,0.08,1.5610101513828594,0.02592057674427567,0.07275390625,1.5753834317887343,0.1455078125,-0.07275390625,IGNORE
14,0.0,4,high,0.2,3.960722687439657,0.06568439017029434,0.177001953125,2.16473619859988,0.35400390625,-0.177001953125,IGNORE
15,0.0,5,low,0.02,0.3182659317989319,0.00553156335084987,0.015869140625,1.1575639068916468,0.03173828125,-0.015869140625,IGNORE
16,0.0,5,medium,0.08,1.3866062220201036,0.023054052227850758,0.06494140625,1.5233768568962407,0.1298828125,-0.06494140625,IGNORE
17,0.0,5,high,0.2,3.7716525165211117,0.06245927634718349,0.1689453125,2.1244004670779146,0.337890625,-0.1689453125,IGNORE
18,0.0,6,low,0.02,0.3367694063576945,0.0059401608349354,0.019775390625,1.1688213182684661,0.03955078125,-0.019775390625,IGNORE
19,0.0,6,medium,0.08,1.4604742238497213,0.024354911273199276,0.068359375,1.5496408452431387,0.13671875,-0.068359375,IGNORE
20,0.0,6,high,0.2,3.9320427130384905,0.06523558741801777,0.17578125,2.158672302488814,0.3515625,-0.17578125,IGNORE
